game_id,date,home_team,away_team,home_score,away_score,neutral_site,conference_game,home_conference,away_conference,spread_home,spread_away,num_bookmakers,commence_time,date_diff_hours,actual_margin,margin_vs_spread,home_covered,away_covered
212892,2025-11-07 03:30:00+00:00,portland,arkansas-pine bluff,83,74,False,False,WCC,SWAC,-15.5,15.5,6,2025-11-07 03:30:00+00:00,0.0,9,-6.5,0.0,1.0
212922,2025-11-07 18:00:00+00:00,new haven,columbia,53,71,False,False,NEC,Ivy,6.5,-6.5,5,2025-11-07 18:00:14+00:00,0.0038888888888888,-18,-11.5,0.0,1.0
212923,2025-11-07 22:00:00+00:00,colgate,northeastern,65,68,False,False,Patriot,CAA,-3.5,3.5,5,2025-11-07 22:00:00+00:00,0.0,-3,-6.5,0.0,1.0
212893,2025-11-07 23:00:00+00:00,liberty,charleston,90,75,False,False,CUSA,CAA,-7.5,7.5,7,2025-11-07 23:00:00+00:00,0.0,15,7.5,1.0,0.0
209823,2025-11-07 23:00:00+00:00,rhode island,tulsa,65,82,True,False,A-10,American,-3.0,3.0,8,2025-11-07 23:00:00+00:00,0.0,-17,-20.0,0.0,1.0
212915,2025-11-07 23:00:00+00:00,maryland,georgetown,60,70,False,False,Big Ten,Big East,-7.0,7.0,9,2025-11-07 23:00:00+00:00,0.0,-10,-17.0,0.0,1.0
212912,2025-11-07 23:30:00+00:00,buffalo,green bay,83,76,False,False,MAC,Horizon,-6.5,6.5,8,2025-11-07 23:30:00+00:00,0.0,7,0.5,0.5,0.5
212898,2025-11-08 00:00:00+00:00,george mason,winthrop,96,90,False,False,A-10,Big South,-11.5,11.5,4,2025-11-08 00:00:00+00:00,0.0,6,-5.5,0.0,1.0
212895,2025-11-08 00:00:00+00:00,purdue,oakland,87,77,False,False,Big Ten,Horizon,-31.5,31.5,9,2025-11-08 00:00:30+00:00,0.0083333333333333,10,-21.5,0.0,1.0
209817,2025-11-08 00:00:00+00:00,clemson,gardner-webb,97,59,False,False,ACC,Big South,-31.25,31.25,6,2025-11-08 00:00:00+00:00,0.0,38,6.75,1.0,0.0
