team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Cal St. Bakersfield,103.6,113.8,.2548,67.0,-10.20,48.1,54.0,19.5,18.7,35.5,29.5,37.2,51.5,-9.5,.4185,2025-02-02
Stephen F. Austin,91.5,100.4,.2544,67.1,-8.90,45.7,47.5,24.7,21.5,36.4,33.6,35.6,36.8,-8.9,.4193,2025-02-02
Howard,108.3,119.1,.2519,69.5,-10.80,54.8,55.6,20.6,16.0,26.6,33.3,34.8,37.7,-7.2,.3127,2025-02-02
Iona,96.2,105.9,.2503,70.0,-9.70,45.5,53.2,21.9,24.1,40.3,30.7,30.4,39.0,-10.6,.3195,2025-02-02
Weber St.,102.8,113.2,.2484,66.4,-10.40,49.8,53.6,17.9,16.5,27.2,32.2,36.6,40.2,-11.3,.4012,2025-02-02
Georgia St.,103.1,113.5,.2484,70.4,-10.40,48.4,53.1,17.7,13.1,32.7,30.6,32.1,26.8,-10.0,.4135,2025-02-02
Texas Southern,97.5,107.4,.2481,71.1,-9.90,46.3,49.2,18.8,19.3,27.6,37.0,32.6,36.5,-6.5,.3325,2025-02-02
UMBC,105.6,116.3,.2479,71.6,-10.70,55.1,53.0,16.4,17.7,20.3,33.8,33.6,27.6,-9.5,.2982,2025-02-02
Air Force,99.8,110.0,.2455,64.9,-10.20,51.2,54.2,20.6,16.4,24.7,29.2,37.8,34.7,-13.8,.592,2025-02-02
Northern Kentucky,96.5,106.4,.2447,66.0,-9.90,47.2,52.6,18.5,20.8,30.9,32.3,32.1,27.5,-9.2,.4077,2025-02-02
Harvard,99.6,110.0,.2418,67.3,-10.40,50.2,51.7,19.0,17.7,26.1,32.6,25.3,26.1,-8.7,.4055,2025-02-02
San Diego,97.5,107.7,.2411,71.6,-10.20,45.0,51.8,19.1,18.2,29.7,31.4,29.0,47.1,-14.5,.5065,2025-02-02
Tarleton St.,92.9,102.7,.2388,66.6,-9.80,47.0,52.5,25.9,24.0,27.6,34.8,41.8,49.1,-7.9,.4662,2025-02-02
Charleston Southern,99.5,110.1,.2378,69.1,-10.60,48.7,53.1,19.5,13.5,30.6,27.8,46.1,34.1,-11.3,.4392,2025-02-02
Stonehill,100.4,111.2,.2366,66.4,-10.80,51.7,50.2,18.0,16.8,23.7,29.5,30.6,34.9,-9.2,.2849,2025-02-02
Western Michigan,100.5,111.3,.2360,68.3,-10.80,46.1,53.7,15.9,15.5,34.8,27.3,32.3,33.6,-10.1,.4117,2025-02-02
Pacific,100.4,111.3,.2333,67.1,-10.90,47.4,53.8,19.0,15.8,29.3,29.4,31.1,36.9,-11.9,.5148,2025-02-02
Albany,101.4,112.5,.2317,69.0,-11.10,48.7,55.8,15.7,20.2,30.7,28.2,29.8,37.9,-9.9,.2988,2025-02-02
VMI,100.5,111.7,.2295,68.3,-11.20,49.1,54.9,17.6,18.7,25.6,32.4,37.5,27.0,-9.1,.36,2025-02-02
Oral Roberts,107.0,118.9,.2292,68.6,-11.90,50.9,56.8,17.1,14.4,23.7,35.0,35.7,38.7,-10.4,.4463,2025-02-02
Utah Tech,101.3,112.6,.2289,67.9,-11.30,48.0,53.6,17.6,18.4,27.0,35.8,33.7,38.6,-11.4,.4583,2025-02-02
Bowling Green,101.5,113.1,.2237,70.1,-11.60,49.6,54.5,17.1,17.8,26.2,30.2,34.7,31.5,-11.1,.3424,2025-02-02
Saint Peter's,94.3,105.1,.2227,63.5,-10.80,45.4,47.4,22.1,18.3,37.5,31.6,31.6,42.0,-9.0,.303,2025-02-02
Jackson St.,95.5,106.5,.2218,70.5,-11.00,43.8,53.6,20.7,18.7,28.8,33.1,36.0,32.6,-8.1,.4048,2025-02-02
Louisiana,99.0,110.4,.2216,67.7,-11.40,45.9,52.4,16.2,18.5,26.0,34.7,28.5,44.8,-12.1,.4394,2025-02-02
Alabama St.,102.2,114.1,.2199,69.1,-11.90,47.3,52.8,13.7,17.8,27.7,31.9,31.6,42.7,-8.7,.3406,2025-02-02
North Carolina Central,102.6,114.6,.2194,68.0,-12.00,49.4,54.7,18.9,22.1,34.6,39.5,39.5,46.0,-9.2,.299,2025-02-02
Austin Peay,95.9,107.3,.2166,67.0,-11.40,46.1,52.8,15.6,18.1,24.9,33.2,31.0,34.9,-9.5,.4039,2025-02-02
Portland,101.9,114.0,.2158,69.0,-12.10,48.8,55.0,19.6,13.3,24.8,30.1,34.4,23.8,-10.3,.4938,2025-02-02
Lafayette,97.6,109.3,.2130,66.8,-11.70,49.5,50.8,16.3,17.3,25.2,29.8,30.6,29.9,-11.3,.2902,2025-02-02
Coastal Carolina,100.5,112.7,.2126,63.8,-12.20,50.0,48.6,18.5,10.7,28.3,28.1,35.3,37.4,-12.1,.3566,2025-02-02
Old Dominion,98.8,110.9,.2092,67.1,-12.10,44.1,50.9,17.4,15.2,35.7,31.8,30.8,36.1,-9.6,.3925,2025-02-02
Penn,102.1,114.8,.2057,67.4,-12.70,48.7,52.5,16.9,14.4,27.2,32.6,30.2,25.3,-9.2,.4568,2025-02-02
Lehigh,98.4,110.7,.2045,68.1,-12.30,50.0,51.6,15.7,16.4,19.7,30.6,30.4,31.9,-9.8,.3125,2025-02-02
Denver,99.9,112.6,.2028,67.1,-12.70,49.5,54.8,17.4,17.3,25.3,30.3,30.7,49.7,-12.0,.4249,2025-02-02
Eastern Michigan,101.4,114.2,.2024,68.8,-12.80,52.0,54.7,18.9,17.8,28.1,31.6,33.8,39.4,-8.2,.3843,2025-02-02
LIU,93.5,105.5,.2001,66.2,-12.00,46.9,49.0,20.2,18.4,31.0,27.7,28.1,45.7,-11.9,.2604,2025-02-02
Saint Francis,98.9,111.6,.1994,68.7,-12.70,50.1,52.1,20.3,16.1,24.1,31.3,23.1,30.1,-10.8,.3223,2025-02-02
IU Indy,106.7,120.5,.1978,65.9,-13.80,49.8,55.8,17.5,15.9,30.3,31.5,35.8,39.0,-12.3,.3704,2025-02-02
Holy Cross,102.3,115.7,.1950,66.3,-13.40,52.9,53.7,17.5,13.9,23.2,26.7,21.0,26.1,-9.1,.3087,2025-02-02
Binghamton,100.4,113.7,.1932,66.1,-13.30,52.7,50.5,20.3,13.1,25.2,28.3,33.2,34.8,-9.6,.2783,2025-02-02
Niagara,101.0,114.4,.1921,64.7,-13.40,51.9,53.5,18.7,17.4,23.6,27.8,28.0,28.7,-10.5,.301,2025-02-02
Rider,99.4,112.7,.1898,65.6,-13.30,46.2,53.2,18.2,16.3,33.0,31.4,30.7,26.4,-10.5,.3412,2025-02-02
Delaware St.,99.0,112.3,.1889,70.3,-13.30,47.5,52.9,18.3,18.7,31.6,32.0,33.8,37.9,-7.3,.2683,2025-02-02
Southern Indiana,99.3,112.9,.1855,67.7,-13.60,48.3,51.6,17.1,16.8,28.5,30.8,32.1,37.6,-10.9,.2949,2025-02-02
Boston University,97.0,110.4,.1834,63.7,-13.40,49.4,51.9,21.1,16.5,32.4,23.5,31.5,29.6,-9.7,.2814,2025-02-02
Fairleigh Dickinson,98.7,112.6,.1809,70.0,-13.90,49.1,52.1,17.0,16.9,26.4,33.5,31.9,32.1,-10.4,.3067,2025-02-02
Eastern Illinois,95.6,109.3,.1770,67.1,-13.70,45.2,51.9,18.7,19.4,29.9,30.9,33.3,41.2,-11.0,.3379,2025-02-02
Long Beach St.,100.5,114.9,.1760,64.9,-14.40,49.6,53.8,22.0,17.3,28.2,36.2,34.4,34.5,-11.8,.4506,2025-02-02
Cal St. Fullerton,96.9,111.5,.1664,68.4,-14.60,45.1,53.0,20.1,17.7,26.5,32.0,42.5,39.6,-12.3,.4733,2025-02-02
Loyola MD,99.1,114.2,.1637,67.7,-15.10,49.9,52.2,18.1,16.8,28.7,28.9,30.6,31.1,-9.8,.2819,2025-02-02
Green Bay,100.2,115.5,.1637,69.0,-15.30,51.9,55.1,19.2,14.7,15.9,33.4,33.6,33.6,-16.6,.4405,2025-02-02
USC Upstate,99.8,115.0,.1635,73.0,-15.20,49.4,56.7,19.5,15.6,25.6,30.7,31.1,42.0,-14.9,.4117,2025-02-02
New Orleans,98.1,113.2,.1619,71.1,-15.10,45.3,54.4,18.3,17.1,28.9,37.1,35.1,27.7,-11.7,.5295,2025-02-02
Prairie View A&M,100.5,116.3,.1576,72.5,-15.80,48.8,56.6,16.8,20.5,24.6,40.1,35.7,44.6,-12.7,.3778,2025-02-02
Alcorn St.,95.8,110.8,.1573,66.3,-15.00,43.8,54.1,21.6,18.0,34.3,36.0,29.7,32.0,-10.4,.3845,2025-02-02
North Carolina A&T,99.0,114.8,.1543,72.3,-15.80,46.1,51.7,13.6,15.3,26.0,33.6,32.2,31.3,-15.2,.3998,2025-02-02
Lindenwood,93.8,108.9,.1515,70.0,-15.10,44.9,51.8,18.9,19.9,30.1,32.8,35.7,34.0,-9.6,.3077,2025-02-02
Detroit Mercy,93.1,108.2,.1506,67.3,-15.10,44.4,49.8,18.2,16.2,31.0,31.3,28.7,36.7,-12.0,.4245,2025-02-02
Louisiana Monroe,95.5,111.2,.1472,68.8,-15.70,44.6,52.6,17.6,17.2,29.3,31.7,29.9,26.4,-14.9,.3878,2025-02-02
Grambling St.,95.0,110.8,.1456,65.7,-15.80,47.3,52.0,20.4,17.2,25.3,30.7,34.2,31.8,-10.4,.3185,2025-02-02
Wagner,92.8,108.6,.1411,61.5,-15.80,44.1,51.5,19.5,18.5,31.0,24.9,29.6,41.9,-7.4,.2454,2025-02-02
Buffalo,96.5,113.2,.1379,72.3,-16.70,48.7,54.2,19.3,16.2,23.2,32.0,31.3,31.7,-10.3,.4002,2025-02-02
Mercyhurst,97.3,114.1,.1374,65.0,-16.80,46.7,55.0,16.7,20.8,22.1,34.5,31.2,39.2,-9.9,.2744,2025-02-02
Le Moyne,100.5,117.9,.1366,69.6,-17.40,49.9,53.7,19.3,15.9,25.1,33.9,38.7,39.3,-12.7,.3199,2025-02-02
Stony Brook,99.9,117.3,.1354,65.7,-17.40,46.8,57.4,18.6,15.7,29.8,31.1,32.1,31.0,-14.4,.3926,2025-02-02
Morgan St.,101.4,119.2,.1344,71.7,-17.80,50.2,54.9,18.1,16.8,32.6,35.0,33.8,43.2,-9.2,.2727,2025-02-02
Fairfield,100.2,118.1,.1316,66.5,-17.90,45.7,55.5,15.8,17.1,31.9,31.2,26.6,31.9,-11.6,.3244,2025-02-02
Central Arkansas,96.5,113.8,.1306,67.5,-17.30,46.3,55.7,17.7,17.6,29.5,31.6,26.5,24.3,-12.7,.3906,2025-02-02
Florida A&M,98.2,116.0,.1289,69.3,-17.80,48.6,53.3,22.7,16.0,27.9,34.5,35.2,40.2,-5.4,.3594,2025-02-02
West Georgia,96.9,114.7,.1264,68.8,-17.80,47.0,56.8,16.7,18.0,26.5,30.3,28.2,37.6,-15.3,.4013,2025-02-02
Stetson,99.6,119.0,.1144,68.9,-19.40,50.4,52.9,19.6,13.4,24.7,35.4,34.7,27.8,-12.4,.3582,2025-02-02
Northern Illinois,93.1,111.6,.1105,70.6,-18.50,46.0,53.8,15.8,17.4,17.8,33.1,32.8,41.2,-13.0,.3776,2025-02-02
Canisius,101.1,121.5,.1074,66.1,-20.40,50.6,57.2,17.9,15.6,19.0,34.9,22.2,30.5,-15.1,.3834,2025-02-02
Sacramento St.,93.1,112.1,.1062,65.8,-19.00,46.0,53.7,20.5,17.9,28.1,29.6,33.9,39.8,-12.9,.377,2025-02-02
NJIT,91.1,109.8,.1046,66.3,-18.70,44.2,48.7,18.2,13.7,27.3,31.9,27.8,38.4,-15.1,.3224,2025-02-02
Western Illinois,97.5,117.8,.1023,63.7,-20.30,47.9,52.1,17.6,14.5,29.5,31.6,25.4,30.4,-12.9,.2857,2025-02-02
Alabama A&M,93.6,113.6,.0968,72.5,-20.00,44.7,53.9,22.4,20.9,36.5,37.3,38.0,45.2,-11.3,.2814,2025-02-02
Bellarmine,101.4,123.3,.0955,66.9,-21.90,52.0,59.3,18.6,14.8,20.8,30.2,26.9,33.4,-16.0,.3652,2025-02-02
