team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Oregon,113.76,104.65,0.723129,65.85,9.11,49.5,52.0,17.8,15.8,34.2,31.5,35.8,33.4,-5.648,0,2026-02-14
Harvard,107.59,107.92,0.491179,63.24,-0.33,53.9,51.4,17.3,17.5,26.4,28.9,27.6,28.7,-5.467,0,2026-02-14
Florida,125.02,91.11,0.974394,69.8,33.91,52.7,46.0,16.2,15.4,42.7,23.8,38.9,33.4,4.717,0,2026-02-14
Saint Joseph's,106.55,102.14,0.619329,67.83,4.41,48.6,48.5,17.7,15.6,32.4,31.9,30.6,27.4,-4.968,0,2026-02-14
Saint Mary's,118.96,98.33,0.899361,65.53,20.63,53.2,46.0,16.7,15.1,37.2,24.1,38.2,25.9,2.164,0,2026-02-14
Texas A&M Corpus Chris,101.59,103.3,0.452049,66.32,-1.71,47.5,50.8,18.8,20.0,30.8,29.0,44.3,47.2,-7.177,0,2026-02-14
Ohio St.,123.2,103.73,0.878496,66.82,19.47,55.7,49.5,15.5,16.0,33.1,31.1,37.8,33.4,1.081,0,2026-02-14
Florida St.,112.96,103.13,0.740043,71.82,9.82,49.7,52.2,15.7,19.7,31.9,32.9,34.0,33.9,-3.929,0,2026-02-14
Seton Hall,107.97,95.9,0.796351,65.71,12.07,47.9,47.8,16.3,22.5,36.4,31.5,35.7,42.3,0.052,0,2026-02-14
North Carolina,122.6,100.44,0.908252,68.14,22.16,54.9,47.0,13.7,13.8,32.6,28.2,38.7,24.5,3.407,0,2026-02-14
Houston Christian,103.91,117.65,0.193411,63.65,-13.74,50.4,56.1,19.3,17.7,31.1,32.7,36.9,30.0,-12.739,0,2026-02-14
Lehigh,101.42,112.96,0.224605,67.27,-11.54,52.5,50.9,17.9,16.9,21.7,33.4,31.8,34.4,-11.693,0,2026-02-14
Navy,103.55,104.79,0.465799,65.61,-1.24,52.6,47.7,17.4,18.1,31.0,26.4,38.4,25.8,-3.607,0,2026-02-14
Saint Francis,98.92,119.62,0.101082,69.86,-20.7,48.0,58.8,18.2,19.2,27.1,34.1,29.1,40.4,-14.85,0,2026-02-14
Santa Clara,122.58,101.74,0.89494,69.77,20.83,55.1,51.0,16.2,21.0,37.1,31.1,26.5,38.3,1.914,0,2026-02-14
Loyola Marymount,105.01,103.39,0.544433,67.7,1.61,51.6,48.1,18.2,16.6,26.8,32.5,30.9,32.4,-7.685,0,2026-02-14
Delaware,103.18,111.79,0.284592,63.0,-8.61,53.1,50.6,18.7,14.3,22.0,30.4,28.0,29.0,-12.206,0,2026-02-14
Miami OH,117.54,107.16,0.743338,70.29,10.38,60.0,50.5,15.1,18.3,26.2,27.9,39.3,32.4,2.496,0,2026-02-14
New Mexico,116.6,99.32,0.863492,69.96,17.28,53.7,48.6,15.5,19.5,28.9,28.2,36.0,32.6,0.813,0,2026-02-14
Coppin St.,92.82,124.19,0.033971,69.12,-31.36,45.5,57.3,22.7,17.3,30.2,35.8,37.7,45.2,-16.837,0,2026-02-14
Temple,111.56,110.13,0.536828,65.19,1.42,50.0,50.6,13.6,16.0,30.6,31.0,43.1,34.9,-5.135,0,2026-02-14
