today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-10-16,2025-10-13,1h,L75,24851.0625,2025-10-16 12:30:00-04:00,12,24820.25,24944.0,143.75,-88.75,False
2025-10-16,2025-10-13,1h,L100,24893.25,2025-10-16 12:20:00-04:00,12,24906.25,24923.5,57.75,-174.75,False
2025-10-16,2025-10-13,5m,L0,24769.0,2025-10-16 12:32:00-04:00,12,24759.75,24932.25,204.25,-28.25,True
2025-10-16,2025-10-13,5m,L25,24784.1875,2025-10-16 12:32:00-04:00,12,24759.75,24932.25,204.25,-28.25,True
2025-10-16,2025-10-13,5m,L50,24799.375,2025-10-16 12:30:00-04:00,12,24820.25,24944.0,143.75,-88.75,True
2025-10-16,2025-10-13,5m,L75,24814.5625,2025-10-16 12:30:00-04:00,12,24820.25,24944.0,143.75,-88.75,False
2025-10-16,2025-10-13,5m,L100,24829.75,2025-10-16 12:30:00-04:00,12,24820.25,24944.0,143.75,-88.75,False
2025-10-16,2025-10-14,1h,L100,24656.5,2025-10-16 14:16:00-04:00,14,24697.75,24741.5,120.75,-54.5,False
2025-10-16,2025-10-15,1h,L0,24897.0,2025-10-16 12:20:00-04:00,12,24906.25,24923.5,57.75,-174.75,True
2025-10-16,2025-10-15,1h,L25,24928.8125,2025-10-16 12:04:00-04:00,12,24968.0,24860.75,29.25,-236.5,False
2025-10-16,2025-10-15,1h,L50,24960.625,2025-10-16 11:49:00-04:00,11,24970.75,24806.25,48.25,-239.25,True
2025-10-16,2025-10-15,1h,L75,24992.4375,2025-10-16 11:41:00-04:00,11,24993.75,24820.75,25.25,-243.25,True
2025-10-16,2025-10-15,1h,L100,25024.25,2025-10-16 10:12:00-04:00,10,25025.5,25124.25,154.25,-12.0,False
2025-10-16,2025-10-15,5m,L0,24897.0,2025-10-16 12:20:00-04:00,12,24906.25,24923.5,57.75,-174.75,True
2025-10-16,2025-10-15,5m,L25,24919.25,2025-10-16 12:19:00-04:00,12,24912.75,24930.75,51.25,-181.25,True
2025-10-16,2025-10-15,5m,L50,24941.5,2025-10-16 11:57:00-04:00,11,24972.5,24910.25,24.75,-241.0,True
2025-10-16,2025-10-15,5m,L75,24963.75,2025-10-16 11:46:00-04:00,11,24969.0,24740.75,50.0,-237.5,True
2025-10-16,2025-10-15,5m,L100,24986.0,2025-10-16 11:41:00-04:00,11,24993.75,24820.75,25.25,-243.25,True
2025-10-17,2025-10-13,1h,L0,24724.5,2025-10-17 11:21:00-04:00,11,24725.25,24916.75,223.75,-50.75,True
2025-10-17,2025-10-13,1h,L25,24766.6875,2025-10-17 10:56:00-04:00,10,24770.25,24866.0,96.75,-95.75,True
2025-10-17,2025-10-13,1h,L50,24808.875,2025-10-17 10:00:00-04:00,10,24783.25,24767.75,177.5,-36.0,True
2025-10-17,2025-10-13,1h,L75,24851.0625,2025-10-17 10:02:00-04:00,10,24856.0,24823.5,104.75,-108.75,True
2025-10-17,2025-10-13,1h,L100,24893.25,2025-10-17 10:12:00-04:00,10,24882.0,24774.25,78.75,-134.75,True
2025-10-17,2025-10-13,5m,L0,24769.0,2025-10-17 10:56:00-04:00,10,24770.25,24866.0,96.75,-95.75,True
2025-10-17,2025-10-13,5m,L25,24784.1875,2025-10-17 10:00:00-04:00,10,24783.25,24767.75,177.5,-36.0,False
2025-10-17,2025-10-13,5m,L50,24799.375,2025-10-17 10:00:00-04:00,10,24783.25,24767.75,177.5,-36.0,True
2025-10-17,2025-10-13,5m,L75,24814.5625,2025-10-17 10:00:00-04:00,10,24783.25,24767.75,177.5,-36.0,True
2025-10-17,2025-10-13,5m,L100,24829.75,2025-10-17 10:00:00-04:00,10,24783.25,24767.75,177.5,-36.0,True
2025-10-17,2025-10-15,1h,L0,24897.0,2025-10-17 10:12:00-04:00,10,24882.0,24774.25,78.75,-134.75,False
2025-10-17,2025-10-15,1h,L25,24928.8125,2025-10-17 10:13:00-04:00,10,24917.25,24767.5,43.5,-170.0,False
2025-10-17,2025-10-15,1h,L50,24960.625,2025-10-17 10:15:00-04:00,10,24955.25,24745.0,5.5,-219.25,True
2025-10-17,2025-10-15,1h,L75,24992.4375,2025-10-17 14:18:00-04:00,14,24988.5,25025.75,65.75,-10.5,False
2025-10-17,2025-10-15,1h,L100,25024.25,2025-10-17 14:20:00-04:00,14,25025.0,25041.75,29.25,-47.0,False
2025-10-17,2025-10-15,5m,L0,24897.0,2025-10-17 10:12:00-04:00,10,24882.0,24774.25,78.75,-134.75,False
2025-10-17,2025-10-15,5m,L25,24919.25,2025-10-17 10:13:00-04:00,10,24917.25,24767.5,43.5,-170.0,False
2025-10-17,2025-10-15,5m,L50,24941.5,2025-10-17 10:14:00-04:00,10,24930.75,24741.25,30.0,-189.5,True
2025-10-17,2025-10-15,5m,L75,24963.75,2025-10-17 10:15:00-04:00,10,24955.25,24745.0,5.5,-219.25,True
2025-10-17,2025-10-15,5m,L100,24986.0,2025-10-17 14:12:00-04:00,14,24974.0,25045.0,80.25,-22.75,False
2025-10-17,2025-10-16,1h,L0,25026.0,2025-10-17 14:20:00-04:00,14,25025.0,25041.75,29.25,-47.0,True
2025-10-17,2025-10-16,1h,L25,25050.875,2025-10-17 15:11:00-04:00,15,25048.25,24988.5,6.0,-68.75,False
2025-10-17,2025-10-16,5m,L0,25047.5,2025-10-17 15:11:00-04:00,15,25048.25,24988.5,6.0,-68.75,False
2025-10-21,2025-10-20,1h,L75,25208.3125,2025-10-21 10:02:00-04:00,10,25222.0,25284.0,81.0,-19.0,False
2025-10-21,2025-10-20,1h,L100,25239.5,2025-10-21 10:00:00-04:00,10,25222.0,25285.5,81.0,-19.0,False
2025-10-21,2025-10-20,5m,L50,25206.625,2025-10-21 10:28:00-04:00,10,25208.75,25279.75,94.25,-5.75,True
2025-10-21,2025-10-20,5m,L75,25219.3125,2025-10-21 10:00:00-04:00,10,25222.0,25285.5,81.0,-19.0,False
2025-10-21,2025-10-20,5m,L100,25232.0,2025-10-21 10:00:00-04:00,10,25222.0,25285.5,81.0,-19.0,False
2025-10-22,2025-10-15,1h,L0,24897.0,2025-10-22 12:32:00-04:00,12,24879.75,24898.25,157.25,-13.5,True
2025-10-22,2025-10-15,1h,L25,24928.8125,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,False
2025-10-22,2025-10-15,1h,L50,24960.625,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,True
2025-10-22,2025-10-15,1h,L75,24992.4375,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,True
2025-10-22,2025-10-15,1h,L100,25024.25,2025-10-22 11:24:00-04:00,11,25058.25,25023.0,73.0,-55.25,True
2025-10-22,2025-10-15,5m,L0,24897.0,2025-10-22 12:32:00-04:00,12,24879.75,24898.25,157.25,-13.5,True
2025-10-22,2025-10-15,5m,L25,24919.25,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,False
2025-10-22,2025-10-15,5m,L50,24941.5,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,True
2025-10-22,2025-10-15,5m,L75,24963.75,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,True
2025-10-22,2025-10-15,5m,L100,24986.0,2025-10-22 12:30:00-04:00,12,24936.75,24890.25,116.25,-70.5,True
2025-10-22,2025-10-16,1h,L0,25026.0,2025-10-22 11:23:00-04:00,11,25043.5,25020.75,87.75,-40.5,False
2025-10-22,2025-10-16,1h,L25,25050.875,2025-10-22 10:46:00-04:00,10,25054.5,25096.75,137.25,-51.5,True
2025-10-22,2025-10-16,1h,L50,25075.75,2025-10-22 10:40:00-04:00,10,25113.5,25049.5,78.25,-110.5,True
2025-10-22,2025-10-16,1h,L75,25100.625,2025-10-22 10:31:00-04:00,10,25102.25,25019.0,89.5,-99.25,True
2025-10-22,2025-10-16,1h,L100,25125.5,2025-10-22 10:29:00-04:00,10,25125.25,25028.0,66.5,-102.25,True
2025-10-22,2025-10-16,5m,L0,25047.5,2025-10-22 10:46:00-04:00,10,25054.5,25096.75,137.25,-51.5,True
